Laserleistung;Scangeschwindigkeit;Hatchabstand;Schichtdicke;ED;TE;Dichte
177;762;0.1113;0.05;0.2322834645669291;41.74006551067909;99.892
250;583;0.12975;0.075;0.4288164665523156;44.06591820704592;97.422
333;292;0.09811;0.1;1.14041095890411;116.2379939765681;97.272
255;516;0.07174;0.075;0.4941860465116279;91.84760645137588;97.127
250;1032;0.15069;0.025;0.2422480620155039;64.30368624739634;99.994
318;537;0.13157;0.075;0.5921787709497207;60.01152957358271;97.418
130;644;0.1301;0.05;0.2018633540372671;31.0320298289419;99.553
227;297;0.12597;0.1;0.7643097643097643;60.67395128282642;94.316
112;670;0.06285;0.075;0.1671641791044776;35.46309819241105;92.99
146;359;0.1796;0.075;0.4066852367688022;30.19192552106921;98.772
325;1342;0.12037;0.025;0.2421758569299553;80.47714777102443;99.986
217;1096;0.0501;0.05;0.197992700729927;79.039002287396;99.985
118;1339;0.08315;0.05;0.0881254667662434;21.19674486259614;86.986
165;1186;0.0746599999999999;0.1;0.1391231028667791;18.63422218949626;94.988
132;1022;0.0673199999999999;0.1;0.1291585127201565;19.18575649437858;83.018
303;1509;0.17225;0.025;0.2007952286282306;46.62879039262249;99.904
283;1460;0.10122;0.075;0.1938356164383562;25.53324329030576;99.975
273;1611;0.0774;0.075;0.1694599627560521;29.19206938088753;99.933
290;1338;0.15212;0.05;0.2167414050822123;28.49610900370921;99.926
166;785;0.07819;0.075;0.2114649681528663;36.06001929536876;99.705
167;516;0.13819;0.05;0.3236434108527132;46.84035181311427;98.189
202;271;0.0741599999999999;0.1;0.7453874538745388;100.5107138450025;95.265
136;1575;0.07798;0.05;0.0863492063492063;22.1465007307531;85.912
246;325;0.18757;0.075;0.7569230769230769;53.80555361895662;96.239
180;1104;0.12412;0.075;0.1630434782608696;17.51460718239011;96.747
305;1363;0.11301;0.025;0.2237710931768158;79.20399723097631;99.994
202;1145;0.14549;0.025;0.1764192139737991;48.50346112414574;99.984
333;1098;0.05497;0.1;0.3032786885245902;55.17167337176463;99.595
283;1483;0.15805;0.1;0.1908293998651382;12.0739892353773;88.644
298;1674;0.11237;0.025;0.1780167264038232;63.36806137005363;99.985
285;534;0.11386;0.075;0.5337078651685393;62.49872535494342;97.385
333;1513;0.05316;0.075;0.2200925313945803;55.20254110724363;99.997
217;1456;0.09909;0.1;0.1490384615384615;15.04071667559406;94.45
329;486;0.16969;0.1;0.676954732510288;39.89361379635146;97.014
337;414;0.10183;0.1;0.8140096618357487;79.9380989723803;95.756
80;225;0.16008;0.025;0.3555555555555556;88.8444666555611;97.338
264;1352;0.13848;0.025;0.1952662721893491;56.40273604545035;99.992
247;707;0.10983;0.1;0.3493635077793494;31.80947899292992;99.045
311;1672;0.11702;0.025;0.1860047846889952;63.58051091744836;99.991
121;465;0.11318;0.025;0.2602150537634408;91.96503048716764;99.968
169;548;0.0621199999999999;0.1;0.3083941605839416;49.64490672632673;98.239
89;751;0.06402;0.025;0.118508655126498;74.04477046329148;99.499
131;1098;0.09157;0.025;0.1193078324225865;52.11655888285967;99.95
190;1407;0.06262;0.075;0.1350390902629709;28.75313324027912;99.98
217;1179;0.15111;0.025;0.1840542832909245;48.72060969913957;99.99
231;1305;0.1016;0.075;0.1770114942528736;23.22985488882856;99.993
289;548;0.17672;0.075;0.5273722627737226;39.78966823402163;98.566
341;1382;0.06993;0.05;0.2467438494934877;70.56881152394898;99.987
150;342;0.14367;0.05;0.4385964912280702;61.05609956540268;96.141
312;1213;0.16833;0.1;0.2572135201978565;15.2803136813317;96.744
317;367;0.14966;0.05;0.8637602179836512;115.4296696490246;97.204
170;1684;0.0957099999999999;0.025;0.1009501187648456;42.18999843897006;99.702
192;1642;0.17208;0.025;0.1169305724725944;27.18051428930599;95.84
274;227;0.17863;0.075;1.20704845814978;90.09673314671144;96.458
101;322;0.1615;0.05;0.3136645962732919;38.84391285118166;97.218
120;1155;0.05262;0.025;0.1038961038961039;78.97841421216563;99.982
147;909;0.12907;0.05;0.1617161716171617;25.0586769376558;98.577
136;1025;0.07015;0.025;0.1326829268292683;75.65669384420144;99.989
230;584;0.17266;0.025;0.3938356164383562;91.23957290359228;98.592
